"formula","C","H","O","N","S","P","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C17H30O7N2P2",17,30,7,2,0,2,"aliphatic","aliphatic+N",-0.2632,-0.5882,1.76,0.41,-6,5,-0.3529
"C18H28O12",18,28,12,0,0,0,"aliphatic","aliphatic",-0.0833,-0.2222,1.56,0.67,-7,5,-0.3889
"C21H28O6N2S1",21,28,6,2,1,0,"unsaturated/lignin","unsaturated/lignin",0.2,-0.381,1.33,0.29,0,9,0
"C22H28O9",22,28,9,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.2571,-0.4545,1.27,0.41,0,9,0
"C23H34O2S1P2",23,34,2,0,1,2,"unsaturated/lignin","unsaturated/lignin",0.2105,-1.2174,1.48,0.09,3,8,0.1304
"C21H29O6N2P1",21,29,6,2,0,1,"unsaturated/lignin","unsaturated/lignin",0.2,-0.5238,1.38,0.29,0,9,0
"C19H32O11",19,32,11,0,0,0,"aliphatic","aliphatic",-0.1111,-0.5263,1.68,0.58,-7,4,-0.3684
"C22H32O5N2S1",22,32,5,2,1,0,"unsaturated/lignin","unsaturated/lignin",0.1515,-0.6364,1.45,0.23,0,8,0
"C22H34O3N2P2",22,34,3,2,0,2,"aliphatic","aliphatic+N",0.1515,-1,1.55,0.14,1,8,0.0455
"C23H32O8",23,32,8,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.2105,-0.6957,1.39,0.35,0,8,0
"C20H36O10",20,36,10,0,0,0,"aliphatic","aliphatic",-0.1333,-0.8,1.8,0.5,-7,3,-0.35
"C19H37O7N2P1",19,37,7,2,0,1,"aliphatic","aliphatic+N",-0.28,-0.8947,1.95,0.37,-7,3,-0.3684
"C23H38O2N2P2",23,38,2,2,0,2,"aliphatic","aliphatic+N",0.1111,-1.2174,1.65,0.09,1,7,0.0435
"C21H41O5S1P1",21,41,5,0,1,1,"aliphatic","aliphatic",-0.1515,-1.381,1.95,0.24,-5,2,-0.2381
"C24H36O7",24,36,7,0,0,0,"aliphatic","aliphatic",0.1707,-0.9167,1.5,0.29,0,7,0
"C21H40O9",21,40,9,0,0,0,"aliphatic","aliphatic",-0.1515,-1.0476,1.9,0.43,-7,2,-0.3333
"C22H44O6S1",22,44,6,0,1,0,"aliphatic","lipid",-0.1667,-1.3636,2,0.27,-6,1,-0.2727
"C26H48O3N2",26,48,3,2,0,0,"aliphatic","aliphatic+N",0.0222,-1.3846,1.85,0.12,-1,4,-0.0385
"C17H11O11N1S1",17,11,11,1,1,0,"aromatic","aromatic",0.5789,0.9412,0.65,0.65,0,13,0
"C17H11O13N1",17,11,13,1,0,0,"aromatic","aromatic",0.5789,1.0588,0.65,0.76,-1,13,-0.0588
"C25H11O5N1S1",25,11,5,1,1,0,"condensed aromatic","condensed aromatic",0.8049,0.16,0.44,0.2,14,21,0.56
"C21H11O10N1",21,11,10,1,0,0,"condensed aromatic","condensed aromatic",0.7333,0.5714,0.52,0.48,6,17,0.2857
"C18H15O10N1S1",18,15,10,1,1,0,"unsaturated/lignin","unsaturated/lignin",0.4545,0.5556,0.83,0.56,0,12,0
"C18H15O12N1",18,15,12,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.4545,0.6667,0.83,0.67,-1,12,-0.0556
"C22H15O9N1",22,15,9,1,0,0,"aromatic","aromatic",0.6364,0.2727,0.68,0.41,6,16,0.2727
"C19H19O9N1S1",19,19,9,1,1,0,"unsaturated/lignin","unsaturated/lignin",0.36,0.2105,1,0.47,0,11,0
"C15H19O14N1",15,19,14,1,0,0,"unsaturated/lignin","unsaturated/lignin",-0.1429,0.8,1.27,0.93,-8,7,-0.5333
"C19H19O11N1",19,19,11,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.36,0.3158,1,0.58,-1,11,-0.0526
"C23H20O6N1P1",23,20,6,1,0,1,"aromatic","aromatic",0.5556,-0.2174,0.87,0.26,7,15,0.3043
"C16H23O13N1",16,23,13,1,0,0,"unsaturated/lignin","unsaturated/lignin",-0.1765,0.375,1.44,0.81,-8,6,-0.5
"C20H23O10N1",20,23,10,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.2857,0,1.15,0.5,-1,10,-0.05
"C21H29O3N1S1P2",21,29,3,1,1,2,"unsaturated/lignin","unsaturated/lignin",0.2258,-0.8571,1.38,0.14,2,9,0.0952
"C24H24O5N1P1",24,24,5,1,0,1,"unsaturated/lignin","unsaturated/lignin",0.4872,-0.4583,1,0.21,7,14,0.2917
"C17H27O12N1",17,27,12,1,0,0,"aliphatic","aliphatic+N",-0.2,0,1.59,0.71,-8,5,-0.4706
"C21H28O7N1P1",21,28,7,1,0,1,"unsaturated/lignin","unsaturated/lignin",0.2258,-0.5238,1.33,0.33,0,9,0
"C21H27O9N1",21,27,9,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.2258,-0.2857,1.29,0.43,-1,9,-0.0476
"C25H28O4N1P1",25,28,4,1,0,1,"unsaturated/lignin","unsaturated/lignin",0.4286,-0.68,1.12,0.16,7,13,0.28
"C18H31O11N1",18,31,11,1,0,0,"aliphatic","aliphatic+N",-0.2174,-0.3333,1.72,0.61,-8,4,-0.4444
"C22H31O8N1",22,31,8,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.1765,-0.5455,1.41,0.36,-1,8,-0.0455
"C19H35O10N1",19,35,10,1,0,0,"aliphatic","aliphatic+N",-0.2308,-0.6316,1.84,0.53,-8,3,-0.4211
"C23H35O7N1",23,35,7,1,0,0,"aliphatic","aliphatic+N",0.1351,-0.7826,1.52,0.3,-1,7,-0.0435
"C20H39O9N1",20,39,9,1,0,0,"aliphatic","aliphatic+N",-0.2414,-0.9,1.95,0.45,-8,2,-0.4
"C19H8O7N2P2",19,8,7,2,0,2,"condensed aromatic","condensed aromatic",0.913,0.6316,0.42,0.37,7,18,0.3684
"C17H10O12S1",17,10,12,0,1,0,"aromatic","aromatic",0.6,0.9412,0.59,0.71,0,13,0
"C17H10O14",17,10,14,0,0,0,"aromatic","aromatic",0.6,1.0588,0.59,0.82,-1,13,-0.0588
"C14H15O14P1",14,15,14,0,0,1,"unsaturated/lignin","unsaturated/lignin",0,0.9286,1.07,1,-7,8,-0.5
"C21H10O11",21,10,11,0,0,0,"condensed aromatic","condensed aromatic",0.7419,0.5714,0.48,0.52,6,17,0.2857
"C18H14O11S1",18,14,11,0,1,0,"unsaturated/lignin","unsaturated/lignin",0.4783,0.5556,0.78,0.61,0,12,0
"C22H15O6S1P1",22,15,6,0,1,1,"aromatic","aromatic",0.6471,-0.0455,0.68,0.27,8,16,0.3636
"C21H16O3N2S1P2",21,16,3,2,1,2,"aromatic","aromatic",0.6552,-0.0952,0.76,0.14,8,16,0.381
"C18H14O13",18,14,13,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.4783,0.6667,0.78,0.72,-1,12,-0.0556
"C15H18O13S1",15,18,13,0,1,0,"unsaturated/lignin","unsaturated/lignin",-0.0667,0.6667,1.2,0.87,-7,7,-0.4667
"C17H14O12N2",17,14,12,2,0,0,"unsaturated/lignin","unsaturated/lignin",0.4444,0.9412,0.82,0.71,-2,12,-0.1176
"C28H11O2N2P1",28,11,2,2,0,1,"condensed aromatic","condensed aromatic",0.875,-0.0357,0.39,0.07,20,25,0.7143
"C26H14O5S1",26,14,5,0,1,0,"condensed aromatic","condensed aromatic",0.7333,-0.0769,0.54,0.19,14,20,0.5385
"C18H20O5N2S1P2",18,20,5,2,1,2,"unsaturated/lignin","unsaturated/lignin",0.3333,-0.1111,1.11,0.28,1,11,0.0556
"C22H14O10",22,14,10,0,0,0,"aromatic","aromatic",0.6471,0.2727,0.64,0.45,6,16,0.2727
"C25H15O2N2S1P1",25,15,2,2,1,1,"condensed aromatic","condensed aromatic",0.75,-0.12,0.6,0.08,14,20,0.56
"C19H18O10S1",19,18,10,0,1,0,"unsaturated/lignin","unsaturated/lignin",0.3846,0.2105,0.95,0.53,0,11,0
"C12H24O13P2",12,24,13,0,0,2,"aliphatic","carbohydrate",-1.8571,0.1667,2,1.08,-13,2,-1.0833
"C21H14O9N2",21,14,9,2,0,0,"aromatic","aromatic",0.6552,0.4762,0.67,0.43,5,16,0.2381
"C30H14O2S1",30,14,2,0,1,0,"condensed aromatic","condensed aromatic",0.7857,-0.2667,0.47,0.07,21,24,0.7
"C22H20O2N2S1P2",22,20,2,2,1,2,"aromatic","aromatic",0.5625,-0.3636,0.91,0.09,8,15,0.3636
"C19H18O12",19,18,12,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.3846,0.3158,0.95,0.63,-1,11,-0.0526
"C16H22O12S1",16,22,12,0,1,0,"unsaturated/lignin","unsaturated/lignin",-0.1111,0.25,1.38,0.75,-7,6,-0.4375
"C30H14O4",30,14,4,0,0,0,"condensed aromatic","condensed aromatic",0.7857,-0.2,0.47,0.13,20,24,0.6667
"C18H18O11N2",18,18,11,2,0,0,"unsaturated/lignin","unsaturated/lignin",0.3333,0.5556,1,0.61,-2,11,-0.1111
"C16H23O12P1",16,23,12,0,0,1,"unsaturated/lignin","unsaturated/lignin",-0.1111,0.0625,1.44,0.75,-7,6,-0.4375
"C19H24O4N2S1P2",19,24,4,2,1,2,"unsaturated/lignin","unsaturated/lignin",0.25,-0.4211,1.26,0.21,1,10,0.0526
"C15H24O9N2P2",15,24,9,2,0,2,"aliphatic","aliphatic+N",-0.3846,0,1.6,0.6,-7,6,-0.4667
"C22H19O6N2P1",22,19,6,2,0,1,"aromatic","aromatic",0.5625,-0.0455,0.86,0.27,6,15,0.2727
"C20H24O7P2",20,24,7,0,0,2,"unsaturated/lignin","unsaturated/lignin",0.3103,-0.5,1.2,0.35,1,10,0.05
"C24H23O4S1P1",24,23,4,0,1,1,"unsaturated/lignin","unsaturated/lignin",0.5,-0.5417,0.96,0.17,8,14,0.3333
"C15H22O13N2",15,22,13,2,0,0,"unsaturated/lignin","unsaturated/lignin",-0.3846,0.6667,1.47,0.87,-9,6,-0.6
"C20H22O11",20,22,11,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.3103,0,1.1,0.55,-1,10,-0.05
"C31H19O1P1",31,19,1,0,0,1,"condensed aromatic","condensed aromatic",0.7288,-0.5484,0.61,0.03,21,23,0.6774
"C21H28O4S1P2",21,28,4,0,1,2,"unsaturated/lignin","unsaturated/lignin",0.25,-0.8571,1.33,0.19,2,9,0.0952
"C17H26O11S1",17,26,11,0,1,0,"aliphatic","aliphatic",-0.1429,-0.1176,1.53,0.65,-7,5,-0.4118
"C19H22O10N2",19,22,10,2,0,0,"unsaturated/lignin","unsaturated/lignin",0.25,0.2105,1.16,0.53,-2,10,-0.1053
"C24H22O8",24,22,8,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.5,-0.25,0.92,0.33,6,14,0.25
"C20H26O7N2S1",20,26,7,2,1,0,"unsaturated/lignin","unsaturated/lignin",0.1852,-0.2,1.3,0.35,-1,9,-0.05
"C20H28O5N2P2",20,28,5,2,0,2,"unsaturated/lignin","unsaturated/lignin",0.1852,-0.6,1.4,0.25,0,9,0
"C16H26O12N2",16,26,12,2,0,0,"aliphatic","aliphatic+N",-0.375,0.25,1.62,0.75,-9,5,-0.5625
"C21H26O10",21,26,10,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.25,-0.2857,1.24,0.48,-1,9,-0.0476
"C22H32O3S1P2",22,32,3,0,1,2,"unsaturated/lignin","unsaturated/lignin",0.2,-1.0909,1.45,0.14,2,8,0.0909
"C20H27O7N2P1",20,27,7,2,0,1,"unsaturated/lignin","unsaturated/lignin",0.1852,-0.35,1.35,0.35,-1,9,-0.05
"C18H30O10S1",18,30,10,0,1,0,"aliphatic","aliphatic",-0.1667,-0.4444,1.67,0.56,-7,4,-0.3889
"C17H32O7N2P2",17,32,7,2,0,2,"aliphatic","aliphatic+N",-0.3684,-0.7059,1.88,0.41,-7,4,-0.4118
"C22H30O7S1",22,30,7,0,1,0,"unsaturated/lignin","unsaturated/lignin",0.2,-0.6364,1.36,0.32,0,8,0
"C21H30O6N2S1",21,30,6,2,1,0,"unsaturated/lignin","unsaturated/lignin",0.1333,-0.4762,1.43,0.29,-1,8,-0.0476
"C19H35O7S1P1",19,35,7,0,1,1,"aliphatic","aliphatic",-0.1852,-1,1.84,0.37,-6,3,-0.3158
"C17H30O11N2",17,30,11,2,0,0,"aliphatic","aliphatic+N",-0.3684,-0.1176,1.76,0.65,-9,4,-0.5294
"C22H30O9",22,30,9,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.2,-0.5455,1.36,0.41,-1,8,-0.0455
"C21H31O6N2P1",21,31,6,2,0,1,"unsaturated/lignin","unsaturated/lignin",0.1333,-0.619,1.48,0.29,-1,8,-0.0476
"C22H34O5N2S1",22,34,5,2,1,0,"aliphatic","aliphatic+N",0.0909,-0.7273,1.55,0.23,-1,7,-0.0455
"C20H39O6S1P1",20,39,6,0,1,1,"aliphatic","aliphatic",-0.2,-1.25,1.95,0.3,-6,2,-0.3
"C23H34O8",23,34,8,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.1579,-0.7826,1.48,0.35,-1,7,-0.0435
"C20H38O8S1",20,38,8,0,1,0,"aliphatic","aliphatic",-0.2,-1,1.9,0.4,-7,2,-0.35
"C24H38O7",24,38,7,0,0,0,"aliphatic","aliphatic",0.122,-1,1.58,0.29,-1,6,-0.0417
"C21H42O7S1",21,42,7,0,1,0,"aliphatic","lipid",-0.2121,-1.2381,2,0.33,-7,1,-0.3333
"C25H42O4S1",25,42,4,0,1,0,"aliphatic","aliphatic",0.0909,-1.28,1.68,0.16,0,5,0
"C21H42O9",21,42,9,0,0,0,"aliphatic","lipid",-0.2121,-1.1429,2,0.43,-8,1,-0.381
"C20H42O8N2",20,42,8,2,0,0,"aliphatic","lipid",-0.3571,-1,2.1,0.4,-9,1,-0.45
"C29H42O3",29,42,3,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.2727,-1.2414,1.45,0.1,6,9,0.2069
"C22H46O8",22,46,8,0,0,0,"aliphatic","lipid",-0.2222,-1.3636,2.09,0.36,-8,0,-0.3636
"C29H58O2",29,58,2,0,0,0,"aliphatic","lipid",0,-1.8621,2,0.07,-1,1,-0.0345
"C20H9O11N1",20,9,11,1,0,0,"condensed aromatic","condensed aromatic",0.7778,0.8,0.45,0.55,5,17,0.25
"C17H13O11N1S1",17,13,11,1,1,0,"unsaturated/lignin","unsaturated/lignin",0.4737,0.8235,0.76,0.65,-1,12,-0.0588
"C17H13O13N1",17,13,13,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.4737,0.9412,0.76,0.76,-2,12,-0.1176
"C25H13O5N1S1",25,13,5,1,1,0,"condensed aromatic","condensed aromatic",0.7561,0.08,0.52,0.2,13,20,0.52
"C21H13O10N1",21,13,10,1,0,0,"condensed aromatic","condensed aromatic",0.6667,0.4762,0.62,0.48,5,16,0.2381
"C18H17O10N1S1",18,17,10,1,1,0,"unsaturated/lignin","unsaturated/lignin",0.3636,0.4444,0.94,0.56,-1,11,-0.0556
"C18H17O12N1",18,17,12,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.3636,0.5556,0.94,0.67,-2,11,-0.1111
"C22H17O9N1",22,17,9,1,0,0,"aromatic","aromatic",0.5758,0.1818,0.77,0.41,5,15,0.2273
"C19H21O11N1",19,21,11,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.28,0.2105,1.11,0.58,-2,10,-0.1053
"C23H22O6N1P1",23,22,6,1,0,1,"unsaturated/lignin","unsaturated/lignin",0.5,-0.3043,0.96,0.26,6,14,0.2609
"C16H25O13N1",16,25,13,1,0,0,"aliphatic","aliphatic+N",-0.2941,0.25,1.56,0.81,-9,5,-0.5625
"C20H25O10N1",20,25,10,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.2143,-0.1,1.25,0.5,-2,9,-0.1
"C24H26O5N1P1",24,26,5,1,0,1,"unsaturated/lignin","unsaturated/lignin",0.4359,-0.5417,1.08,0.21,6,13,0.25
"C17H29O12N1",17,29,12,1,0,0,"aliphatic","aliphatic+N",-0.3,-0.1176,1.71,0.71,-9,4,-0.5294
"C21H29O9N1",21,29,9,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.1613,-0.381,1.38,0.43,-2,8,-0.0952
"C25H30O4N1P1",25,30,4,1,0,1,"unsaturated/lignin","unsaturated/lignin",0.381,-0.76,1.2,0.16,6,12,0.24
"C18H33O11N1",18,33,11,1,0,0,"aliphatic","aliphatic+N",-0.3043,-0.4444,1.83,0.61,-9,3,-0.5
"C22H33O8N1",22,33,8,1,0,0,"aliphatic","aliphatic+N",0.1176,-0.6364,1.5,0.36,-2,7,-0.0909
"C19H37O10N1",19,37,10,1,0,0,"aliphatic","aliphatic+N",-0.3077,-0.7368,1.95,0.53,-9,2,-0.4737
"C20H41O9N1",20,41,9,1,0,0,"aliphatic","lipid",-0.3103,-1,2.05,0.45,-9,1,-0.45
"C14H6O11N2P2",14,6,11,2,0,2,"condensed aromatic","condensed aromatic",1,1.5714,0.43,0.79,-1,14,-0.0714
"C20H8O12",20,8,12,0,0,0,"condensed aromatic","condensed aromatic",0.7857,0.8,0.4,0.6,5,17,0.25
"C17H12O12S1",17,12,12,0,1,0,"unsaturated/lignin","unsaturated/lignin",0.5,0.8235,0.71,0.71,-1,12,-0.0588
"C19H8O11N2",19,8,11,2,0,0,"condensed aromatic","condensed aromatic",0.8261,1.0526,0.42,0.58,4,17,0.2105
"C20H14O4N2S1P2",20,14,4,2,1,2,"condensed aromatic","condensed aromatic",0.6923,0.1,0.7,0.2,7,16,0.35
"C17H12O14",17,12,14,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.5,0.9412,0.71,0.82,-2,12,-0.1176
"C14H16O14S1",14,16,14,0,1,0,"unsaturated/lignin","unsaturated/lignin",-0.1667,1,1.14,1,-8,7,-0.5714
"C14H17O14P1",14,17,14,0,0,1,"unsaturated/lignin","unsaturated/lignin",-0.1667,0.7857,1.21,1,-8,7,-0.5714
"C21H12O11",21,12,11,0,0,0,"condensed aromatic","condensed aromatic",0.6774,0.4762,0.57,0.52,5,16,0.2381
"C18H16O11S1",18,16,11,0,1,0,"unsaturated/lignin","unsaturated/lignin",0.3913,0.4444,0.89,0.61,-1,11,-0.0556
"C29H13O1S1P1",29,13,1,0,1,1,"condensed aromatic","condensed aromatic",0.8113,-0.3103,0.45,0.03,21,24,0.7241
"C21H18O3N2S1P2",21,18,3,2,1,2,"aromatic","aromatic",0.5862,-0.1905,0.86,0.14,7,15,0.3333
"C18H16O13",18,16,13,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.3913,0.5556,0.89,0.72,-2,11,-0.1111
"C15H20O13S1",15,20,13,0,1,0,"unsaturated/lignin","unsaturated/lignin",-0.2,0.5333,1.33,0.87,-8,6,-0.5333
"C29H12O5",29,12,5,0,0,0,"condensed aromatic","condensed aromatic",0.8113,-0.069,0.41,0.17,19,24,0.6552
"C17H16O12N2",17,16,12,2,0,0,"unsaturated/lignin","unsaturated/lignin",0.3333,0.8235,0.94,0.71,-3,11,-0.1765
"C28H13O2N2P1",28,13,2,2,0,1,"condensed aromatic","condensed aromatic",0.8333,-0.1071,0.46,0.07,19,24,0.6786
"C15H21O13P1",15,21,13,0,0,1,"unsaturated/lignin","unsaturated/lignin",-0.2,0.3333,1.4,0.87,-8,6,-0.5333
"C22H16O10",22,16,10,0,0,0,"aromatic","aromatic",0.5882,0.1818,0.73,0.45,5,15,0.2273
"C23H22O3S1P2",23,22,3,0,1,2,"aromatic","aromatic",0.5135,-0.6087,0.96,0.13,8,14,0.3478
"C19H20O10S1",19,20,10,0,1,0,"unsaturated/lignin","unsaturated/lignin",0.3077,0.1053,1.05,0.53,-1,10,-0.0526
"C33H12O2",33,12,2,0,0,0,"condensed aromatic","condensed aromatic",0.8438,-0.2424,0.36,0.06,26,28,0.7879
"C23H21O5S1P1",23,21,5,0,1,1,"aromatic","aromatic",0.5135,-0.3913,0.91,0.22,7,14,0.3043
"C22H22O2N2S1P2",22,22,2,2,1,2,"unsaturated/lignin","unsaturated/lignin",0.5,-0.4545,1,0.09,7,14,0.3182
"C16H25O10S1P1",16,25,10,0,1,1,"aliphatic","aliphatic",-0.2222,-0.1875,1.56,0.62,-7,5,-0.4375
"C23H20O7S1",23,20,7,0,1,0,"aromatic","aromatic",0.5135,-0.1739,0.87,0.3,6,14,0.2609
"C32H12O1N2",32,12,1,2,0,0,"condensed aromatic","condensed aromatic",0.8644,-0.125,0.38,0.03,25,28,0.7812
"C19H20O12",19,20,12,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.3077,0.2105,1.05,0.63,-2,10,-0.1053
"C22H21O4N2S1P1",22,21,4,2,1,1,"unsaturated/lignin","unsaturated/lignin",0.5,-0.2273,0.95,0.18,6,14,0.2727
"C30H17O2P1",30,17,2,0,0,1,"condensed aromatic","condensed aromatic",0.75,-0.4333,0.57,0.07,20,23,0.6667
"C16H24O12S1",16,24,12,0,1,0,"aliphatic","aliphatic",-0.2222,0.125,1.5,0.75,-8,5,-0.5
"C13H30O10S1P2",13,30,10,0,1,2,"aliphatic","lipid",-1.6,-0.6154,2.31,0.77,-13,0,-1
"C30H16O4",30,16,4,0,0,0,"condensed aromatic","condensed aromatic",0.75,-0.2667,0.53,0.13,19,23,0.6333
"C18H20O11N2",18,20,11,2,0,0,"unsaturated/lignin","unsaturated/lignin",0.2381,0.4444,1.11,0.61,-3,10,-0.1667
"C16H25O12P1",16,25,12,0,0,1,"aliphatic","aliphatic",-0.2222,-0.0625,1.56,0.75,-8,5,-0.5
"C19H26O4N2S1P2",19,26,4,2,1,2,"unsaturated/lignin","unsaturated/lignin",0.1667,-0.5263,1.37,0.21,0,9,0
"C23H20O9",23,20,9,0,0,0,"aromatic","aromatic",0.5135,-0.087,0.87,0.39,5,14,0.2174
"C24H26O2S1P2",24,26,2,0,1,2,"unsaturated/lignin","unsaturated/lignin",0.45,-0.8333,1.08,0.08,8,13,0.3333
"C20H24O9S1",20,24,9,0,1,0,"unsaturated/lignin","unsaturated/lignin",0.2414,-0.2,1.2,0.45,-1,9,-0.05
"C24H25O4S1P1",24,25,4,0,1,1,"unsaturated/lignin","unsaturated/lignin",0.45,-0.625,1.04,0.17,7,13,0.2917
"C12H29O11N2S1P1",12,29,11,2,1,1,"aliphatic","carbohydrate",-3.8,0.0833,2.42,0.92,-15,0,-1.25
"C19H26O6N2P2",19,26,6,2,0,2,"unsaturated/lignin","unsaturated/lignin",0.1667,-0.4211,1.37,0.32,-1,9,-0.0526
"C15H24O13N2",15,24,13,2,0,0,"aliphatic","aliphatic+N",-0.5385,0.5333,1.6,0.87,-10,5,-0.6667
"C20H24O11",20,24,11,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.2414,-0.1,1.2,0.55,-2,9,-0.1
"C31H21O1P1",31,21,1,0,0,1,"condensed aromatic","condensed aromatic",0.6949,-0.6129,0.68,0.03,20,22,0.6452
"C17H28O11S1",17,28,11,0,1,0,"aliphatic","aliphatic",-0.2381,-0.2353,1.65,0.65,-8,4,-0.4706
"C23H26O3N2P2",23,26,3,2,0,2,"unsaturated/lignin","unsaturated/lignin",0.4286,-0.6087,1.13,0.13,6,13,0.2609
"C19H24O10N2",19,24,10,2,0,0,"unsaturated/lignin","unsaturated/lignin",0.1667,0.1053,1.26,0.53,-3,9,-0.1579
"C24H24O8",24,24,8,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.45,-0.3333,1,0.33,5,13,0.2083
"C20H28O7N2S1",20,28,7,2,1,0,"unsaturated/lignin","unsaturated/lignin",0.1111,-0.3,1.4,0.35,-2,8,-0.1
"C16H28O12N2",16,28,12,2,0,0,"aliphatic","aliphatic+N",-0.5,0.125,1.75,0.75,-10,4,-0.625
"C21H28O10",21,28,10,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.1875,-0.381,1.33,0.48,-2,8,-0.0952
"C24H28O4N2S1",24,28,4,2,1,0,"unsaturated/lignin","unsaturated/lignin",0.3684,-0.5,1.17,0.17,5,12,0.2083
"C17H34O7N2P2",17,34,7,2,0,2,"aliphatic","lipid",-0.4737,-0.8235,2,0.41,-8,3,-0.4706
"C21H32O6N2S1",21,32,6,2,1,0,"aliphatic","aliphatic+N",0.0667,-0.5714,1.52,0.29,-2,7,-0.0952
"C22H32O9",22,32,9,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.1429,-0.6364,1.45,0.41,-2,7,-0.0909
"C25H32O3N2S1",25,32,3,2,1,0,"unsaturated/lignin","unsaturated/lignin",0.3171,-0.72,1.28,0.12,5,11,0.2
"C25H34O1N2P2",25,34,1,2,0,2,"unsaturated/lignin","unsaturated/lignin",0.3171,-1.04,1.36,0.04,6,11,0.24
"C23H38O4P2",23,38,4,0,0,2,"aliphatic","aliphatic",0.1053,-1.3043,1.65,0.17,0,6,0
"C19H36O11",19,36,11,0,0,0,"aliphatic","aliphatic",-0.2593,-0.7368,1.89,0.58,-9,2,-0.4737
"C22H38O3N2P2",22,38,3,2,0,2,"aliphatic","aliphatic+N",0.0303,-1.1818,1.73,0.14,-1,6,-0.0455
"C23H36O8",23,36,8,0,0,0,"aliphatic","aliphatic",0.1053,-0.8696,1.57,0.35,-2,6,-0.087
"C19H41O7N2P1",19,41,7,2,0,1,"aliphatic","lipid",-0.44,-1.1053,2.16,0.37,-9,1,-0.4737
"C24H40O7",24,40,7,0,0,0,"aliphatic","aliphatic",0.0732,-1.0833,1.67,0.29,-2,5,-0.0833
"C21H44O7S1",21,44,7,0,1,0,"aliphatic","lipid",-0.2727,-1.3333,2.1,0.33,-8,0,-0.381
"C21H45O7P1",21,45,7,0,0,1,"aliphatic","lipid",-0.2727,-1.4762,2.14,0.33,-8,0,-0.381
"C28H40O4",28,40,4,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.2692,-1.1429,1.43,0.14,5,9,0.1786
"C25H44O4S1",25,44,4,0,1,0,"aliphatic","aliphatic",0.0455,-1.36,1.76,0.16,-1,4,-0.04
"C29H44O1S1",29,44,1,0,1,0,"aliphatic","aliphatic",0.2364,-1.3793,1.52,0.03,6,8,0.2069
"C25H44O6",25,44,6,0,0,0,"aliphatic","aliphatic",0.0455,-1.28,1.76,0.24,-2,4,-0.08
"C29H44O3",29,44,3,0,0,0,"aliphatic","aliphatic",0.2364,-1.3103,1.52,0.1,5,8,0.1724
"C27H52O4",27,52,4,0,0,0,"aliphatic","aliphatic",0,-1.6296,1.93,0.15,-2,2,-0.0741
"C19H7O12N1",19,7,12,1,0,0,"condensed aromatic","condensed aromatic",0.8333,1.0526,0.37,0.63,4,17,0.2105
"C16H11O14N1",16,11,14,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.5,1.25,0.69,0.88,-3,12,-0.1875
"C20H11O11N1",20,11,11,1,0,0,"condensed aromatic","condensed aromatic",0.7037,0.7,0.55,0.55,4,16,0.2
"C17H15O11N1S1",17,15,11,1,1,0,"unsaturated/lignin","unsaturated/lignin",0.3684,0.7059,0.88,0.65,-2,11,-0.1176
"C17H15O13N1",17,15,13,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.3684,0.8235,0.88,0.76,-3,11,-0.1765
"C21H15O10N1",21,15,10,1,0,0,"aromatic","aromatic",0.6,0.381,0.71,0.48,4,15,0.1905
"C18H19O10N1S1",18,19,10,1,1,0,"unsaturated/lignin","unsaturated/lignin",0.2727,0.3333,1.06,0.56,-2,10,-0.1111
"C29H15O2N1S1",29,15,2,1,1,0,"condensed aromatic","condensed aromatic",0.7692,-0.2069,0.52,0.07,19,23,0.6552
"C18H19O12N1",18,19,12,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.2727,0.4444,1.06,0.67,-3,10,-0.1667
