formula,region,site,transect,horizon
C21H24O6,WLE,OWC,wc,A
C17H11O9N1,WLE,OWC,upland,A
C17H11O9N1,WLE,OWC,transition,A
C17H11O9N1,WLE,OWC,wte,A
C17H11O9N1,WLE,OWC,wc,A
C14H15O11N1,WLE,OWC,upland,A
C14H15O11N1,WLE,OWC,transition,A
C14H15O11N1,WLE,OWC,wte,A
C14H15O11N1,WLE,OWC,wc,A
C18H15O8N1,WLE,OWC,upland,A
C18H15O8N1,WLE,OWC,transition,A
C18H15O8N1,WLE,OWC,wte,A
C18H15O8N1,WLE,OWC,wc,A
C18H15O8N1,WLE,OWC,transition,B
C19H19O7N1,WLE,OWC,wte,A
C19H19O7N1,WLE,OWC,wc,A
C17H10O10,WLE,OWC,upland,A
C17H10O10,WLE,OWC,transition,A
C17H10O10,WLE,OWC,wte,A
C17H10O10,WLE,OWC,wc,A
C17H10O10,WLE,OWC,transition,B
C14H14O10S1,WLE,OWC,wte,A
C14H14O10S1,WLE,OWC,wc,A
C16H10O9N2,WLE,OWC,wte,A
C16H10O9N2,WLE,OWC,wc,A
C14H14O12,WLE,OWC,upland,A
C14H14O12,WLE,OWC,transition,A
C14H14O12,WLE,OWC,wte,A
C14H14O12,WLE,OWC,wc,A
C18H14O9,WLE,OWC,upland,A
C18H14O9,WLE,OWC,transition,A
C18H14O9,WLE,OWC,wte,A
C18H14O9,WLE,OWC,wc,A
C18H14O9,WLE,OWC,upland,B
C18H14O9,WLE,OWC,transition,B
C15H18O9S1,WLE,OWC,upland,A
C15H18O9S1,WLE,OWC,transition,A
C15H18O9S1,WLE,OWC,wte,A
C15H18O9S1,WLE,OWC,wc,A
C17H14O8N2,WLE,OWC,transition,A
C17H14O8N2,WLE,OWC,wte,A
C17H14O8N2,WLE,OWC,wc,A
C19H18O8,WLE,OWC,upland,A
C19H18O8,WLE,OWC,transition,A
C19H18O8,WLE,OWC,wte,A
C19H18O8,WLE,OWC,wc,A
C19H18O8,WLE,OWC,upland,B
C19H18O8,WLE,OWC,transition,B
C16H22O8S1,WLE,OWC,upland,A
C16H22O8S1,WLE,OWC,transition,A
C16H22O8S1,WLE,OWC,wte,A
C16H22O8S1,WLE,OWC,wc,A
C20H22O7,WLE,OWC,upland,A
C20H22O7,WLE,OWC,transition,A
C20H22O7,WLE,OWC,wte,A
C20H22O7,WLE,OWC,wc,A
C20H22O7,WLE,OWC,upland,B
C20H22O7,WLE,OWC,transition,B
C21H26O6,WLE,OWC,upland,A
C21H26O6,WLE,OWC,transition,A
C21H26O6,WLE,OWC,wte,A
C21H26O6,WLE,OWC,wc,A
C21H26O6,WLE,OWC,transition,B
C22H30O5,WLE,OWC,wc,A
C16H9O10N1,WLE,OWC,upland,A
C16H9O10N1,WLE,OWC,transition,A
C16H9O10N1,WLE,OWC,wte,A
C16H9O10N1,WLE,OWC,wc,A
C17H13O9N1,WLE,OWC,upland,A
C17H13O9N1,WLE,OWC,transition,A
C17H13O9N1,WLE,OWC,wte,A
C17H13O9N1,WLE,OWC,wc,A
C17H13O9N1,WLE,OWC,transition,B
C18H17O8N1,WLE,OWC,upland,A
C18H17O8N1,WLE,OWC,transition,A
C18H17O8N1,WLE,OWC,wte,A
C18H17O8N1,WLE,OWC,wc,A
C18H17O8N1,WLE,OWC,transition,B
C19H21O7N1,WLE,OWC,upland,A
C19H21O7N1,WLE,OWC,transition,A
C19H21O7N1,WLE,OWC,wte,A
C19H21O7N1,WLE,OWC,wc,A
C19H21O7N1,WLE,OWC,transition,B
C17H12O8S1,WLE,OWC,wc,A
C13H12O13,WLE,OWC,upland,A
C17H12O10,WLE,OWC,upland,A
C17H12O10,WLE,OWC,transition,A
C17H12O10,WLE,OWC,wte,A
C17H12O10,WLE,OWC,wc,A
C17H12O10,WLE,OWC,upland,B
C17H12O10,WLE,OWC,transition,B
C14H16O10S1,WLE,OWC,wte,A
C14H16O10S1,WLE,OWC,wc,A
C16H12O9N2,WLE,OWC,transition,A
C16H12O9N2,WLE,OWC,wte,A
C16H12O9N2,WLE,OWC,wc,A
C14H16O12,WLE,OWC,upland,A
C14H16O12,WLE,OWC,transition,A
C14H16O12,WLE,OWC,wte,A
C14H16O12,WLE,OWC,wc,A
C18H16O9,WLE,OWC,upland,A
C18H16O9,WLE,OWC,transition,A
C18H16O9,WLE,OWC,wte,A
C18H16O9,WLE,OWC,wc,A
C18H16O9,WLE,OWC,upland,B
C18H16O9,WLE,OWC,transition,B
C15H20O9S1,WLE,OWC,upland,A
C15H20O9S1,WLE,OWC,transition,A
C15H20O9S1,WLE,OWC,wte,A
C15H20O9S1,WLE,OWC,wc,A
C17H16O8N2,WLE,OWC,transition,A
C17H16O8N2,WLE,OWC,wte,A
C17H16O8N2,WLE,OWC,wc,A
C21H28O6,WLE,OWC,upland,A
C21H28O6,WLE,OWC,transition,A
C21H28O6,WLE,OWC,wte,A
C21H28O6,WLE,OWC,wc,A
C21H28O6,WLE,OWC,transition,B
C22H32O5,WLE,OWC,wc,A
C16H11O10N1,WLE,OWC,upland,A
C16H11O10N1,WLE,OWC,transition,A
C16H11O10N1,WLE,OWC,wte,A
C16H11O10N1,WLE,OWC,wc,A
C17H15O9N1,WLE,OWC,upland,A
C17H15O9N1,WLE,OWC,transition,A
C17H15O9N1,WLE,OWC,wte,A
C17H15O9N1,WLE,OWC,wc,A
C17H15O9N1,WLE,OWC,transition,B
C18H19O8N1,WLE,OWC,upland,A
C18H19O8N1,WLE,OWC,transition,A
C18H19O8N1,WLE,OWC,wte,A
C18H19O8N1,WLE,OWC,wc,A
C20H27O6N1,WLE,OWC,wc,A
C16H10O9S1,WLE,OWC,wte,A
C16H10O9S1,WLE,OWC,wc,A
C16H10O11,WLE,OWC,upland,A
C16H10O11,WLE,OWC,transition,A
C16H10O11,WLE,OWC,wte,A
C16H10O11,WLE,OWC,wc,A
C16H10O11,WLE,OWC,transition,B
C15H10O10N2,WLE,OWC,wte,A
C17H14O8S1,WLE,OWC,wte,A
C17H14O8S1,WLE,OWC,wc,A
C17H14O10,WLE,OWC,upland,A
C17H14O10,WLE,OWC,transition,A
C17H14O10,WLE,OWC,wte,A
C17H14O10,WLE,OWC,wc,A
C17H14O10,WLE,OWC,upland,B
C17H14O10,WLE,OWC,transition,B
C14H18O10S1,WLE,OWC,wte,A
C14H18O10S1,WLE,OWC,wc,A
C16H14O9N2,WLE,OWC,upland,A
C16H14O9N2,WLE,OWC,transition,A
C16H14O9N2,WLE,OWC,wte,A
C16H14O9N2,WLE,OWC,wc,A
C18H18O9,WLE,OWC,upland,A
C18H18O9,WLE,OWC,transition,A
C18H18O9,WLE,OWC,wte,A
C18H18O9,WLE,OWC,wc,A
C18H18O9,WLE,OWC,upland,B
C18H18O9,WLE,OWC,transition,B
C15H22O9S1,WLE,OWC,upland,A
C15H22O9S1,WLE,OWC,transition,A
C15H22O9S1,WLE,OWC,wte,A
C15H22O9S1,WLE,OWC,wc,A
C17H18O8N2,WLE,OWC,transition,A
C17H18O8N2,WLE,OWC,wte,A
C17H18O8N2,WLE,OWC,wc,A
C16H26O8S1,WLE,OWC,wc,A
C21H30O6,WLE,OWC,upland,A
C21H30O6,WLE,OWC,transition,A
C21H30O6,WLE,OWC,wte,A
C21H30O6,WLE,OWC,wc,A
C16H13O8N1S1,WLE,OWC,wte,A
C16H13O8N1S1,WLE,OWC,wc,A
C16H13O10N1,WLE,OWC,upland,A
C16H13O10N1,WLE,OWC,transition,A
C16H13O10N1,WLE,OWC,wte,A
C16H13O10N1,WLE,OWC,wc,A
C16H13O10N1,WLE,OWC,transition,B
C17H17O9N1,WLE,OWC,upland,A
C17H17O9N1,WLE,OWC,transition,A
C17H17O9N1,WLE,OWC,wte,A
C17H17O9N1,WLE,OWC,wc,A
C17H17O9N1,WLE,OWC,upland,B
C17H17O9N1,WLE,OWC,transition,B
C18H21O8N1,WLE,OWC,upland,A
C18H21O8N1,WLE,OWC,transition,A
C18H21O8N1,WLE,OWC,wte,A
C18H21O8N1,WLE,OWC,wc,A
C18H21O8N1,WLE,OWC,transition,B
C19H25O7N1,WLE,OWC,wte,A
C19H25O7N1,WLE,OWC,wc,A
C15H8O12,WLE,OWC,upland,A
C16H12O9S1,WLE,OWC,wte,A
C16H12O9S1,WLE,OWC,wc,A
C16H12O11,WLE,OWC,upland,A
C16H12O11,WLE,OWC,transition,A
C16H12O11,WLE,OWC,wte,A
C16H12O11,WLE,OWC,wc,A
C16H12O11,WLE,OWC,upland,B
C16H12O11,WLE,OWC,transition,B
C15H12O10N2,WLE,OWC,transition,A
C15H12O10N2,WLE,OWC,wte,A
C20H12O8,WLE,OWC,wte,A
C20H12O8,WLE,OWC,wc,A
C17H16O8S1,WLE,OWC,wte,A
C17H16O8S1,WLE,OWC,wc,A
C17H16O10,WLE,OWC,upland,A
C17H16O10,WLE,OWC,transition,A
C17H16O10,WLE,OWC,wte,A
C17H16O10,WLE,OWC,wc,A
C17H16O10,WLE,OWC,upland,B
C17H16O10,WLE,OWC,transition,B
C14H20O10S1,WLE,OWC,wc,A
C16H16O9N2,WLE,OWC,upland,A
C16H16O9N2,WLE,OWC,transition,A
C16H16O9N2,WLE,OWC,wte,A
C16H16O9N2,WLE,OWC,wc,A
C18H20O7S1,WLE,OWC,wc,A
C15H24O9S1,WLE,OWC,wc,A
C17H20O8N2,WLE,OWC,wte,A
C17H20O8N2,WLE,OWC,wc,A
C15H11O9N1S1,WLE,OWC,wte,A
C15H11O11N1,WLE,OWC,upland,A
C15H11O11N1,WLE,OWC,transition,A
C15H11O11N1,WLE,OWC,wte,A
C19H11O8N1,WLE,OWC,wte,A
C19H11O8N1,WLE,OWC,wc,A
C16H15O10N1,WLE,OWC,upland,A
C16H15O10N1,WLE,OWC,transition,A
C16H15O10N1,WLE,OWC,wte,A
C16H15O10N1,WLE,OWC,wc,A
C16H15O10N1,WLE,OWC,transition,B
C17H19O9N1,WLE,OWC,upland,A
C17H19O9N1,WLE,OWC,transition,A
C17H19O9N1,WLE,OWC,wte,A
C17H19O9N1,WLE,OWC,wc,A
C17H19O9N1,WLE,OWC,upland,B
C17H19O9N1,WLE,OWC,transition,B
C15H10O10S1,WLE,OWC,wte,A
C15H10O10S1,WLE,OWC,wc,A
C15H10O12,WLE,OWC,upland,A
C15H10O12,WLE,OWC,transition,A
C15H10O12,WLE,OWC,wte,A
C15H10O12,WLE,OWC,wc,A
C19H10O9,WLE,OWC,upland,A
C19H10O9,WLE,OWC,transition,A
C19H10O9,WLE,OWC,wte,A
C19H10O9,WLE,OWC,wc,A
C16H14O9S1,WLE,OWC,wte,A
C16H14O9S1,WLE,OWC,wc,A
C16H14O11,WLE,OWC,upland,A
C16H14O11,WLE,OWC,transition,A
C16H14O11,WLE,OWC,wte,A
C16H14O11,WLE,OWC,wc,A
C16H14O11,WLE,OWC,upland,B
C16H14O11,WLE,OWC,transition,B
C15H14O10N2,WLE,OWC,upland,A
C15H14O10N2,WLE,OWC,transition,A
C15H14O10N2,WLE,OWC,wte,A
C15H14O10N2,WLE,OWC,wc,A
C17H18O8S1,WLE,OWC,wte,A
C17H18O8S1,WLE,OWC,wc,A
C17H18O10,WLE,OWC,upland,A
C17H18O10,WLE,OWC,transition,A
C17H18O10,WLE,OWC,wte,A
C17H18O10,WLE,OWC,wc,A
C17H18O10,WLE,OWC,upland,B
C17H18O10,WLE,OWC,transition,B
C14H22O10S1,WLE,OWC,wc,A
C16H18O9N2,WLE,OWC,upland,A
C16H18O9N2,WLE,OWC,transition,A
C16H18O9N2,WLE,OWC,wte,A
C16H18O9N2,WLE,OWC,wc,A
C18H22O7S1,WLE,OWC,wc,A
C19H26O6S1,WLE,OWC,wc,A
C18H9O9N1,WLE,OWC,wte,A
C18H9O9N1,WLE,OWC,wc,A
C15H13O9N1S1,WLE,OWC,wte,A
C15H13O11N1,WLE,OWC,upland,A
C15H13O11N1,WLE,OWC,transition,A
C15H13O11N1,WLE,OWC,wte,A
C15H13O11N1,WLE,OWC,wc,A
C19H13O8N1,WLE,OWC,transition,A
C19H13O8N1,WLE,OWC,wte,A
C19H13O8N1,WLE,OWC,wc,A
C16H17O10N1,WLE,OWC,upland,A
C16H17O10N1,WLE,OWC,transition,A
C16H17O10N1,WLE,OWC,wte,A
C16H17O10N1,WLE,OWC,wc,A
C16H17O10N1,WLE,OWC,transition,B
C17H21O9N1,WLE,OWC,upland,A
C17H21O9N1,WLE,OWC,transition,A
C17H21O9N1,WLE,OWC,wte,A
C17H21O9N1,WLE,OWC,wc,A
C17H21O9N1,WLE,OWC,transition,B
C18H8O10,WLE,OWC,upland,A
C18H8O10,WLE,OWC,transition,A
C18H8O10,WLE,OWC,wte,A
C18H8O10,WLE,OWC,wc,A
C15H12O10S1,WLE,OWC,wte,A
C15H12O10S1,WLE,OWC,wc,A
C15H12O12,WLE,OWC,upland,A
C15H12O12,WLE,OWC,transition,A
C15H12O12,WLE,OWC,wte,A
C15H12O12,WLE,OWC,wc,A
C15H12O12,WLE,OWC,upland,B
C19H12O9,WLE,OWC,upland,A
C19H12O9,WLE,OWC,transition,A
C19H12O9,WLE,OWC,wte,A
C19H12O9,WLE,OWC,wc,A
C16H16O9S1,WLE,OWC,wte,A
C16H16O9S1,WLE,OWC,wc,A
C16H16O11,WLE,OWC,upland,A
C16H16O11,WLE,OWC,transition,A
C16H16O11,WLE,OWC,wte,A
C16H16O11,WLE,OWC,wc,A
C16H16O11,WLE,OWC,upland,B
C16H16O11,WLE,OWC,transition,B
C15H16O10N2,WLE,OWC,transition,A
C15H16O10N2,WLE,OWC,wte,A
C20H16O8,WLE,OWC,upland,A
C20H16O8,WLE,OWC,transition,A
C20H16O8,WLE,OWC,wte,A
C20H16O8,WLE,OWC,wc,A
C17H20O8S1,WLE,OWC,wte,A
C17H20O8S1,WLE,OWC,wc,A
C16H20O9N2,WLE,OWC,wte,A
C21H20O7,WLE,OWC,wte,A
C21H20O7,WLE,OWC,wc,A
C18H24O7S1,WLE,OWC,wc,A
C22H24O6,WLE,OWC,wte,A
C22H24O6,WLE,OWC,wc,A
C24H48O3,WLE,OWC,wte,A
C24H48O3,WLE,OWC,wc,A
C18H11O9N1,WLE,OWC,upland,A
C18H11O9N1,WLE,OWC,transition,A
C18H11O9N1,WLE,OWC,wte,A
C18H11O9N1,WLE,OWC,wc,A
C15H15O9N1S1,WLE,OWC,wte,A
C15H15O11N1,WLE,OWC,upland,A
C15H15O11N1,WLE,OWC,transition,A
C15H15O11N1,WLE,OWC,wte,A
C15H15O11N1,WLE,OWC,wc,A
C19H15O8N1,WLE,OWC,transition,A
C19H15O8N1,WLE,OWC,wte,A
C19H15O8N1,WLE,OWC,wc,A
C16H19O10N1,WLE,OWC,upland,A
C16H19O10N1,WLE,OWC,transition,A
C16H19O10N1,WLE,OWC,wte,A
C16H19O10N1,WLE,OWC,wc,A
C16H19O10N1,WLE,OWC,upland,B
C16H19O10N1,WLE,OWC,transition,B
C14H10O13,WLE,OWC,upland,A
C18H10O10,WLE,OWC,upland,A
C18H10O10,WLE,OWC,transition,A
C18H10O10,WLE,OWC,wte,A
C18H10O10,WLE,OWC,wc,A
C15H14O10S1,WLE,OWC,wte,A
C15H14O10S1,WLE,OWC,wc,A
C15H14O12,WLE,OWC,upland,A
C15H14O12,WLE,OWC,transition,A
C15H14O12,WLE,OWC,wte,A
C15H14O12,WLE,OWC,wc,A
C15H14O12,WLE,OWC,upland,B
C15H14O12,WLE,OWC,transition,B
C19H14O9,WLE,OWC,upland,A
C19H14O9,WLE,OWC,transition,A
C19H14O9,WLE,OWC,wte,A
C19H14O9,WLE,OWC,wc,A
C19H14O9,WLE,OWC,transition,B
C16H18O9S1,WLE,OWC,wte,A
C16H18O9S1,WLE,OWC,wc,A
C20H18O8,WLE,OWC,upland,A
C20H18O8,WLE,OWC,transition,A
C20H18O8,WLE,OWC,wte,A
C20H18O8,WLE,OWC,wc,A
C20H18O8,WLE,OWC,transition,B
C17H22O8S1,WLE,OWC,upland,A
C17H22O8S1,WLE,OWC,transition,A
C17H22O8S1,WLE,OWC,wte,A
C17H22O8S1,WLE,OWC,wc,A
C21H22O7,WLE,OWC,upland,A
C21H22O7,WLE,OWC,transition,A
C21H22O7,WLE,OWC,wte,A
C21H22O7,WLE,OWC,wc,A
C22H26O6,WLE,OWC,wte,A
C22H26O6,WLE,OWC,wc,A
C17H9O10N1,WLE,OWC,upland,A
C17H9O10N1,WLE,OWC,transition,A
C17H9O10N1,WLE,OWC,wte,A
C17H9O10N1,WLE,OWC,wc,A
C18H13O9N1,WLE,OWC,upland,A
C18H13O9N1,WLE,OWC,transition,A
C18H13O9N1,WLE,OWC,wte,A
C18H13O9N1,WLE,OWC,wc,A
C18H13O9N1,WLE,OWC,transition,B
C15H17O11N1,WLE,OWC,upland,A
C15H17O11N1,WLE,OWC,transition,A
C15H17O11N1,WLE,OWC,wte,A
C15H17O11N1,WLE,OWC,wc,A
C19H17O8N1,WLE,OWC,transition,A
C19H17O8N1,WLE,OWC,wte,A
C19H17O8N1,WLE,OWC,wc,A
C20H21O7N1,WLE,OWC,wte,A
C17H8O11,WLE,OWC,upland,A
C17H8O11,WLE,OWC,transition,A
C17H8O11,WLE,OWC,wte,A
C17H8O11,WLE,OWC,wc,A
C14H12O11S1,WLE,OWC,wte,A
C14H12O13,WLE,OWC,upland,A
C14H12O13,WLE,OWC,transition,A
C14H12O13,WLE,OWC,wte,A
C15H16O10S1,WLE,OWC,wte,A
C15H16O10S1,WLE,OWC,wc,A
C17H12O9N2,WLE,OWC,wte,A
C17H12O9N2,WLE,OWC,wc,A
C15H16O12,WLE,OWC,upland,A
C15H16O12,WLE,OWC,transition,A
C15H16O12,WLE,OWC,wte,A
C15H16O12,WLE,OWC,wc,A
C15H16O12,WLE,OWC,upland,B
C15H16O12,WLE,OWC,transition,B
C19H16O9,WLE,OWC,upland,A
C19H16O9,WLE,OWC,transition,A
C19H16O9,WLE,OWC,wte,A
C19H16O9,WLE,OWC,wc,A
C19H16O9,WLE,OWC,upland,B
C19H16O9,WLE,OWC,transition,B
C16H20O9S1,WLE,OWC,upland,A
C16H20O9S1,WLE,OWC,transition,A
C16H20O9S1,WLE,OWC,wte,A
C16H20O9S1,WLE,OWC,wc,A
C18H16O8N2,WLE,OWC,wte,A
C18H16O8N2,WLE,OWC,wc,A
C20H20O8,WLE,OWC,upland,A
C20H20O8,WLE,OWC,transition,A
C20H20O8,WLE,OWC,wte,A
C20H20O8,WLE,OWC,wc,A
C20H20O8,WLE,OWC,upland,B
C20H20O8,WLE,OWC,transition,B
C17H24O8S1,WLE,OWC,transition,A
C17H24O8S1,WLE,OWC,wte,A
C17H24O8S1,WLE,OWC,wc,A
C21H24O7,WLE,OWC,upland,A
C21H24O7,WLE,OWC,transition,A
C21H24O7,WLE,OWC,wte,A
C21H24O7,WLE,OWC,wc,A
C21H24O7,WLE,OWC,upland,B
C21H24O7,WLE,OWC,transition,B
C22H28O6,WLE,OWC,upland,A
C22H28O6,WLE,OWC,transition,A
C22H28O6,WLE,OWC,wte,A
C22H28O6,WLE,OWC,wc,A
C17H11O10N1,WLE,OWC,upland,A
C17H11O10N1,WLE,OWC,transition,A
C17H11O10N1,WLE,OWC,wte,A
C17H11O10N1,WLE,OWC,wc,A
C19H19O8N1,WLE,OWC,upland,A
C19H19O8N1,WLE,OWC,transition,A
C19H19O8N1,WLE,OWC,wte,A
C19H19O8N1,WLE,OWC,wc,A
C19H19O8N1,WLE,OWC,transition,B
C20H23O7N1,WLE,OWC,wte,A
C20H23O7N1,WLE,OWC,wc,A
C16H10O10N2,WLE,OWC,transition,A
C16H10O10N2,WLE,OWC,wte,A
C14H14O13,WLE,OWC,upland,A
C14H14O13,WLE,OWC,transition,A
C14H14O13,WLE,OWC,wte,A
C15H18O10S1,WLE,OWC,wte,A
C15H18O10S1,WLE,OWC,wc,A
C17H14O9N2,WLE,OWC,transition,A
C17H14O9N2,WLE,OWC,wte,A
C17H14O9N2,WLE,OWC,wc,A
C15H18O12,WLE,OWC,upland,A
C15H18O12,WLE,OWC,transition,A
C15H18O12,WLE,OWC,wte,A
C15H18O12,WLE,OWC,wc,A
C15H18O12,WLE,OWC,upland,B
C15H18O12,WLE,OWC,transition,B
C19H18O9,WLE,OWC,upland,A
C19H18O9,WLE,OWC,transition,A
C19H18O9,WLE,OWC,wte,A
C19H18O9,WLE,OWC,wc,A
C19H18O9,WLE,OWC,upland,B
C19H18O9,WLE,OWC,transition,B
C16H22O9S1,WLE,OWC,upland,A
C16H22O9S1,WLE,OWC,transition,A
C16H22O9S1,WLE,OWC,wte,A
C16H22O9S1,WLE,OWC,wc,A
C18H18O8N2,WLE,OWC,wte,A
C18H18O8N2,WLE,OWC,wc,A
C20H22O8,WLE,OWC,upland,A
C20H22O8,WLE,OWC,transition,A
C20H22O8,WLE,OWC,wte,A
C20H22O8,WLE,OWC,wc,A
C20H22O8,WLE,OWC,upland,B
C20H22O8,WLE,OWC,transition,B
C21H26O7,WLE,OWC,upland,A
C21H26O7,WLE,OWC,transition,A
C21H26O7,WLE,OWC,wte,A
C21H26O7,WLE,OWC,wc,A
C21H26O7,WLE,OWC,upland,B
C21H26O7,WLE,OWC,transition,B
C22H30O6,WLE,OWC,upland,A
C22H30O6,WLE,OWC,transition,A
C22H30O6,WLE,OWC,wte,A
C22H30O6,WLE,OWC,wc,A
C16H9O11N1,WLE,OWC,transition,A
C16H9O11N1,WLE,OWC,wte,A
C17H13O10N1,WLE,OWC,upland,A
C17H13O10N1,WLE,OWC,transition,A
C17H13O10N1,WLE,OWC,wte,A
C17H13O10N1,WLE,OWC,wc,A
C17H13O10N1,WLE,OWC,transition,B
C14H17O12N1,WLE,OWC,upland,A
C14H17O12N1,WLE,OWC,transition,A
C14H17O12N1,WLE,OWC,wte,A
C14H17O12N1,WLE,OWC,wc,A
C18H17O9N1,WLE,OWC,upland,A
C18H17O9N1,WLE,OWC,transition,A
C18H17O9N1,WLE,OWC,wte,A
C18H17O9N1,WLE,OWC,wc,A
C18H17O9N1,WLE,OWC,transition,B
C19H21O8N1,WLE,OWC,upland,A
C19H21O8N1,WLE,OWC,transition,A
C19H21O8N1,WLE,OWC,wte,A
C19H21O8N1,WLE,OWC,wc,A
C19H21O8N1,WLE,OWC,transition,B
C20H25O7N1,WLE,OWC,wte,A
C20H25O7N1,WLE,OWC,wc,A
C16H8O12,WLE,OWC,upland,A
C16H8O12,WLE,OWC,transition,A
C16H8O12,WLE,OWC,wte,A
C17H12O9S1,WLE,OWC,wte,A
C17H12O9S1,WLE,OWC,wc,A
C17H12O11,WLE,OWC,upland,A
C17H12O11,WLE,OWC,transition,A
C17H12O11,WLE,OWC,wte,A
C17H12O11,WLE,OWC,wc,A
C17H12O11,WLE,OWC,upland,B
C17H12O11,WLE,OWC,transition,B
C16H12O10N2,WLE,OWC,transition,A
C16H12O10N2,WLE,OWC,wte,A
C16H12O10N2,WLE,OWC,wc,A
C14H16O13,WLE,OWC,upland,A
C14H16O13,WLE,OWC,transition,A
C14H16O13,WLE,OWC,wte,A
C18H16O10,WLE,OWC,upland,A
C18H16O10,WLE,OWC,transition,A
C18H16O10,WLE,OWC,wte,A
C18H16O10,WLE,OWC,wc,A
C18H16O10,WLE,OWC,upland,B
C18H16O10,WLE,OWC,transition,B
C15H20O10S1,WLE,OWC,transition,A
C15H20O10S1,WLE,OWC,wte,A
C15H20O10S1,WLE,OWC,wc,A
C17H16O9N2,WLE,OWC,upland,A
C17H16O9N2,WLE,OWC,transition,A
C17H16O9N2,WLE,OWC,wte,A
C17H16O9N2,WLE,OWC,wc,A
C19H20O9,WLE,OWC,upland,A
C19H20O9,WLE,OWC,transition,A
C19H20O9,WLE,OWC,wte,A
C19H20O9,WLE,OWC,wc,A
C19H20O9,WLE,OWC,upland,B
C19H20O9,WLE,OWC,transition,B
C16H24O9S1,WLE,OWC,wte,A
C16H24O9S1,WLE,OWC,wc,A
C18H20O8N2,WLE,OWC,wte,A
C18H20O8N2,WLE,OWC,wc,A
C20H24O8,WLE,OWC,upland,A
C20H24O8,WLE,OWC,transition,A
C20H24O8,WLE,OWC,wte,A
C20H24O8,WLE,OWC,wc,A
C20H24O8,WLE,OWC,upland,B
C20H24O8,WLE,OWC,transition,B
C22H32O6,WLE,OWC,upland,A
C22H32O6,WLE,OWC,transition,A
C22H32O6,WLE,OWC,wte,A
C22H32O6,WLE,OWC,wc,A
C16H11O9N1S1,WLE,OWC,wte,A
C16H11O9N1S1,WLE,OWC,wc,A
C16H11O11N1,WLE,OWC,upland,A
C16H11O11N1,WLE,OWC,transition,A
C16H11O11N1,WLE,OWC,wte,A
C16H11O11N1,WLE,OWC,wc,A
C17H15O10N1,WLE,OWC,upland,A
C17H15O10N1,WLE,OWC,transition,A
C17H15O10N1,WLE,OWC,wte,A
C17H15O10N1,WLE,OWC,wc,A
C17H15O10N1,WLE,OWC,transition,B
C18H19O9N1,WLE,OWC,upland,A
C18H19O9N1,WLE,OWC,transition,A
C18H19O9N1,WLE,OWC,wte,A
C18H19O9N1,WLE,OWC,wc,A
C18H19O9N1,WLE,OWC,upland,B
C18H19O9N1,WLE,OWC,transition,B
C19H23O8N1,WLE,OWC,upland,A
C19H23O8N1,WLE,OWC,transition,A
C19H23O8N1,WLE,OWC,wte,A
C19H23O8N1,WLE,OWC,wc,A
C19H23O8N1,WLE,OWC,transition,B
C20H27O7N1,WLE,OWC,wte,A
C20H27O7N1,WLE,OWC,wc,A
C16H10O10S1,WLE,OWC,wte,A
C16H10O10S1,WLE,OWC,wc,A
C16H10O12,WLE,OWC,upland,A
C16H10O12,WLE,OWC,transition,A
C16H10O12,WLE,OWC,wte,A
C16H10O12,WLE,OWC,wc,A
C20H10O9,WLE,OWC,wte,A
C20H10O9,WLE,OWC,wc,A
C17H14O9S1,WLE,OWC,wte,A
C17H14O9S1,WLE,OWC,wc,A
C17H14O11,WLE,OWC,upland,A
C17H14O11,WLE,OWC,transition,A
C17H14O11,WLE,OWC,wte,A
C17H14O11,WLE,OWC,wc,A
C17H14O11,WLE,OWC,upland,B
C17H14O11,WLE,OWC,transition,B
C16H14O10N2,WLE,OWC,upland,A
C16H14O10N2,WLE,OWC,transition,A
C16H14O10N2,WLE,OWC,wte,A
C16H14O10N2,WLE,OWC,wc,A
C18H18O10,WLE,OWC,upland,A
C18H18O10,WLE,OWC,transition,A
C18H18O10,WLE,OWC,wte,A
C18H18O10,WLE,OWC,wc,A
C18H18O10,WLE,OWC,upland,B
C18H18O10,WLE,OWC,transition,B
C15H22O10S1,WLE,OWC,wte,A
C15H22O10S1,WLE,OWC,wc,A
C17H18O9N2,WLE,OWC,transition,A
C17H18O9N2,WLE,OWC,wte,A
C17H18O9N2,WLE,OWC,wc,A
C19H9O9N1,WLE,OWC,transition,A
C19H9O9N1,WLE,OWC,wte,A
C16H13O9N1S1,WLE,OWC,wte,A
C16H13O9N1S1,WLE,OWC,wc,A
C16H13O11N1,WLE,OWC,upland,A
C16H13O11N1,WLE,OWC,transition,A
C16H13O11N1,WLE,OWC,wte,A
C16H13O11N1,WLE,OWC,wc,A
C20H13O8N1,WLE,OWC,wte,A
C20H13O8N1,WLE,OWC,wc,A
C17H17O10N1,WLE,OWC,upland,A
C17H17O10N1,WLE,OWC,transition,A
C17H17O10N1,WLE,OWC,wte,A
C17H17O10N1,WLE,OWC,wc,A
C17H17O10N1,WLE,OWC,upland,B
C17H17O10N1,WLE,OWC,transition,B
C18H21O9N1,WLE,OWC,upland,A
C18H21O9N1,WLE,OWC,transition,A
C18H21O9N1,WLE,OWC,wte,A
C18H21O9N1,WLE,OWC,wc,A
C18H21O9N1,WLE,OWC,upland,B
C18H21O9N1,WLE,OWC,transition,B
C20H29O7N1,WLE,OWC,wte,A
