timestep,time_minutes,time_hour,start_date,sample_name,site,location,timepoint,DO_corrected_mgL
11,55,0.9,7/7/22,anoxia_056,OWC,transition-A,24-hour,6.23
29,145,2.4,7/7/22,anoxia_057,OWC,transition-A,24-hour,6.14
12,60,1.0,7/7/22,anoxia_056,OWC,transition-A,24-hour,6.09
31,155,2.6,7/7/22,anoxia_053,OWC,transition-A,24-hour,6.17
13,65,1.1,7/7/22,anoxia_056,OWC,transition-A,24-hour,6.12
30,150,2.5,7/7/22,anoxia_057,OWC,transition-A,24-hour,6.06
32,160,2.7,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.99
14,70,1.2,7/7/22,anoxia_056,OWC,transition-A,24-hour,5.97
31,155,2.6,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.98
33,165,2.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.91
32,160,2.7,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.9
15,75,1.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,5.9
34,170,2.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.8
16,80,1.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,5.94
33,165,2.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.82
34,170,2.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.76
35,175,2.9,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.78
17,85,1.4,7/7/22,anoxia_056,OWC,transition-A,24-hour,5.64
35,175,2.9,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.66
36,180,3.0,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.63
36,180,3.0,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.59
18,90,1.5,7/7/22,anoxia_056,OWC,transition-A,24-hour,5.57
37,185,3.1,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.6
37,185,3.1,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.5
38,190,3.2,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.47
19,95,1.6,7/7/22,anoxia_056,OWC,transition-A,24-hour,5.57
38,190,3.2,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.45
39,195,3.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.46
39,195,3.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.38
40,200,3.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.34
20,100,1.7,7/7/22,anoxia_056,OWC,transition-A,24-hour,5.27
40,200,3.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.28
41,205,3.4,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.3
21,105,1.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,5.18
41,205,3.4,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.22
42,210,3.5,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.16
22,110,1.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,5.2
42,210,3.5,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.17
43,215,3.6,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.24
23,115,1.9,7/7/22,anoxia_056,OWC,transition-A,24-hour,5.07
43,215,3.6,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.1
44,220,3.7,7/7/22,anoxia_053,OWC,transition-A,24-hour,5.08
24,120,2.0,7/7/22,anoxia_056,OWC,transition-A,24-hour,5.07
44,220,3.7,7/7/22,anoxia_057,OWC,transition-A,24-hour,5.02
45,225,3.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.97
25,125,2.1,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.98
46,230,3.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.9
45,225,3.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.95
26,130,2.2,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.84
46,230,3.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.88
47,235,3.9,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.94
27,135,2.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.9
48,240,4.0,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.83
28,140,2.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.77
47,235,3.9,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.8
49,245,4.1,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.78
29,145,2.4,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.68
48,240,4.0,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.73
30,150,2.5,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.75
50,250,4.2,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.66
49,245,4.1,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.67
51,255,4.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.65
31,155,2.6,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.69
50,250,4.2,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.57
52,260,4.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.55
32,160,2.7,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.57
51,255,4.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.5
53,265,4.4,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.5
52,260,4.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.46
33,165,2.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.54
54,270,4.5,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.39
53,265,4.4,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.37
55,275,4.6,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.38
34,170,2.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.27
54,270,4.5,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.29
56,280,4.7,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.27
57,285,4.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.24
55,275,4.6,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.27
35,175,2.9,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.14
58,290,4.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.15
56,280,4.7,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.15
59,295,4.9,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.17
57,285,4.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.06
36,180,3.0,7/7/22,anoxia_056,OWC,transition-A,24-hour,4.1
60,300,5.0,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.1
61,305,5.1,7/7/22,anoxia_053,OWC,transition-A,24-hour,4.04
58,290,4.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,4.02
62,310,5.2,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.89
59,295,4.9,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.93
37,185,3.1,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.9
63,315,5.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.91
60,300,5.0,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.87
38,190,3.2,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.79
64,320,5.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.86
61,305,5.1,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.8
65,325,5.4,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.79
39,195,3.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.72
62,310,5.2,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.81
66,330,5.5,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.71
63,315,5.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.69
67,335,5.6,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.62
40,200,3.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.59
64,320,5.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.58
68,340,5.7,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.63
41,205,3.4,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.59
65,325,5.4,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.54
69,345,5.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.54
42,210,3.5,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.47
70,350,5.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.46
66,330,5.5,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.51
71,355,5.9,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.42
43,215,3.6,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.38
67,335,5.6,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.4
72,360,6.0,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.41
44,220,3.7,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.4
68,340,5.7,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.32
73,365,6.1,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.31
45,225,3.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.23
69,345,5.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.27
74,370,6.2,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.27
46,230,3.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.26
75,375,6.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.18
70,350,5.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.19
47,235,3.9,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.1
76,380,6.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.13
71,355,5.9,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.13
48,240,4.0,7/7/22,anoxia_056,OWC,transition-A,24-hour,3.13
77,385,6.4,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.14
72,360,6.0,7/7/22,anoxia_057,OWC,transition-A,24-hour,3.09
49,245,4.1,7/7/22,anoxia_056,OWC,transition-A,24-hour,3
78,390,6.5,7/7/22,anoxia_053,OWC,transition-A,24-hour,3.03
73,365,6.1,7/7/22,anoxia_057,OWC,transition-A,24-hour,3
79,395,6.6,7/7/22,anoxia_053,OWC,transition-A,24-hour,3
50,250,4.2,7/7/22,anoxia_056,OWC,transition-A,24-hour,3
74,370,6.2,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.95
51,255,4.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.91
80,400,6.7,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.86
75,375,6.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.86
52,260,4.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.86
81,405,6.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.91
53,265,4.4,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.82
82,410,6.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.82
76,380,6.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.81
54,270,4.5,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.77
83,415,6.9,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.78
77,385,6.4,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.75
84,420,7.0,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.7
55,275,4.6,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.75
78,390,6.5,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.69
56,280,4.7,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.67
85,425,7.1,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.66
57,285,4.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.62
79,395,6.6,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.63
86,430,7.2,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.66
58,290,4.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.56
80,400,6.7,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.56
87,435,7.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.55
59,295,4.9,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.53
88,440,7.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.49
81,405,6.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.5
60,300,5.0,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.5
61,305,5.1,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.47
89,445,7.4,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.43
82,410,6.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.44
62,310,5.2,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.39
90,450,7.5,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.38
83,415,6.9,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.38
63,315,5.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.38
91,455,7.6,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.38
64,320,5.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.31
84,420,7.0,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.31
92,460,7.7,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.3
65,325,5.4,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.29
85,425,7.1,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.25
93,465,7.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.28
66,330,5.5,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.23
67,335,5.6,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.19
94,470,7.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.18
86,430,7.2,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.2
68,340,5.7,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.17
95,475,7.9,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.16
87,435,7.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.13
69,345,5.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.11
96,480,8.0,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.08
70,350,5.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.08
88,440,7.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,2.05
71,355,5.9,7/7/22,anoxia_056,OWC,transition-A,24-hour,2.04
97,485,8.1,7/7/22,anoxia_053,OWC,transition-A,24-hour,2.04
72,360,6.0,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.98
89,445,7.4,7/7/22,anoxia_057,OWC,transition-A,24-hour,2
98,490,8.2,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.93
73,365,6.1,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.99
90,450,7.5,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.94
99,495,8.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.94
74,370,6.2,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.9
91,455,7.6,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.87
100,500,8.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.89
75,375,6.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.89
76,380,6.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.82
92,460,7.7,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.83
101,505,8.4,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.82
77,385,6.4,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.79
102,510,8.5,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.79
93,465,7.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.76
78,390,6.5,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.72
103,515,8.6,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.72
94,470,7.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.71
79,395,6.6,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.73
104,520,8.7,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.69
80,400,6.7,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.63
95,475,7.9,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.67
105,525,8.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.62
81,405,6.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.63
96,480,8.0,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.59
106,530,8.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.58
82,410,6.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.55
97,485,8.1,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.54
107,535,8.9,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.51
83,415,6.9,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.54
108,540,9.0,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.5
84,420,7.0,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.46
98,490,8.2,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.48
109,545,9.1,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.46
85,425,7.1,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.44
99,495,8.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.42
110,550,9.2,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.4
86,430,7.2,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.38
100,500,8.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.35
111,555,9.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.34
87,435,7.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.35
112,560,9.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.31
101,505,8.4,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.3
88,440,7.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.32
89,445,7.4,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.25
113,565,9.4,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.24
102,510,8.5,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.25
114,570,9.5,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.23
90,450,7.5,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.22
91,455,7.6,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.16
103,515,8.6,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.2
115,575,9.6,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.23
92,460,7.7,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.18
104,520,8.7,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.15
116,580,9.7,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.14
93,465,7.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.08
117,585,9.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.1
105,525,8.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.08
94,470,7.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.09
118,590,9.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.05
95,475,7.9,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.01
106,530,8.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,1.04
119,595,9.9,7/7/22,anoxia_053,OWC,transition-A,24-hour,1.01
96,480,8.0,7/7/22,anoxia_056,OWC,transition-A,24-hour,1.04
97,485,8.1,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.97
107,535,8.9,7/7/22,anoxia_057,OWC,transition-A,24-hour,0.98
120,600,10.0,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.98
121,605,10.1,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.96
98,490,8.2,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.96
108,540,9.0,7/7/22,anoxia_057,OWC,transition-A,24-hour,0.95
99,495,8.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.91
122,610,10.2,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.92
100,500,8.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.9
109,545,9.1,7/7/22,anoxia_057,OWC,transition-A,24-hour,0.87
123,615,10.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.87
101,505,8.4,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.82
110,550,9.2,7/7/22,anoxia_057,OWC,transition-A,24-hour,0.84
124,620,10.3,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.83
102,510,8.5,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.8
125,625,10.4,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.78
103,515,8.6,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.78
111,555,9.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,0.78
126,630,10.5,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.73
104,520,8.7,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.74
105,525,8.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.75
112,560,9.3,7/7/22,anoxia_057,OWC,transition-A,24-hour,0.72
127,635,10.6,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.69
106,530,8.8,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.67
107,535,8.9,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.72
128,640,10.7,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.69
108,540,9.0,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.65
113,565,9.4,7/7/22,anoxia_057,OWC,transition-A,24-hour,0.66
129,645,10.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.71
109,545,9.1,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.68
110,550,9.2,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.6
114,570,9.5,7/7/22,anoxia_057,OWC,transition-A,24-hour,0.63
130,650,10.8,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.63
111,555,9.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.61
131,655,10.9,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.58
112,560,9.3,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.56
115,575,9.6,7/7/22,anoxia_057,OWC,transition-A,24-hour,0.57
132,660,11.0,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.52
113,565,9.4,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.57
114,570,9.5,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.52
116,580,9.7,7/7/22,anoxia_057,OWC,transition-A,24-hour,0.5
133,665,11.1,7/7/22,anoxia_053,OWC,transition-A,24-hour,0.5
115,575,9.6,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.52
116,580,9.7,7/7/22,anoxia_056,OWC,transition-A,24-hour,0.48
117,585,9.8,7/7/22,anoxia_057,OWC,transition-A,24-hour,0.48
